participant_id,completed,condition,started_at,ended_at,n_trials,page_url,template_version,experiment_id,client_started_at,screen,language,uid,viewport,user_agent,n_trials_exported,trials_source,n_chunks,client_ended_at
1fuaLSY89aWE3oKDJqUy7UBeWRm2,false,gain,2026-09-17T19:09:40.643Z,,,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T19:09:40.417Z,"{""width"":1920,""height"":1028}",en-US,1fuaLSY89aWE3oKDJqUy7UBeWRm2,"{""width"":1920,""height"":1028}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",0,chunks,,
560e5qxMVbhdEwmmbuPevb6nSXA3,true,loss,2026-09-16T23:36:34.688Z,2026-09-16T23:37:39.745Z,24,http://localhost:8000/,0.1.0,framing-demo,2026-09-16T23:36:34.179Z,"{""width"":1920,""height"":1080}",en-US,560e5qxMVbhdEwmmbuPevb6nSXA3,"{""width"":2258,""height"":1164}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-16T23:37:39.671Z
8vItJVcu1gTfWSrC9bQiqy4Ijuq2,false,loss,2026-09-17T01:04:09.158Z,,,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T01:04:07.902Z,"{""width"":1600,""height"":1200}",en-CA,8vItJVcu1gTfWSrC9bQiqy4Ijuq2,"{""width"":1600,""height"":1200}","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",0,chunks,,
9TIohaIBFDViUrStPLXwrCJCCOx2,false,loss,2026-09-17T18:27:28.759Z,,,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T18:27:28.221Z,"{""width"":1920,""height"":1080}",en-US,9TIohaIBFDViUrStPLXwrCJCCOx2,"{""width"":1920,""height"":1080}","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",0,chunks,,
GmMoPM9FQmhSHfeAOxwjQOUsiFY2,true,loss,2026-09-17T23:26:02.820Z,2026-09-17T23:26:49.042Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T23:26:02.596Z,"{""width"":1920,""height"":1028}",en-US,GmMoPM9FQmhSHfeAOxwjQOUsiFY2,"{""width"":1920,""height"":1028}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-17T23:26:48.961Z
Ivni9lBYAMRZFHY440AYRyrRIyI2,false,loss,2026-09-17T02:54:05.902Z,,,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T02:54:05.479Z,"{""width"":414,""height"":896}",en-US,Ivni9lBYAMRZFHY440AYRyrRIyI2,"{""width"":430,""height"":775}","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Mobile/15E148 Safari/604.1",0,chunks,,
MMP0dS4hSpYmmuJ1TW5VxRDyuGh2,false,loss,2026-09-17T23:25:48.136Z,2026-09-17T23:18:28.061Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T23:25:47.978Z,"{""width"":1920,""height"":1028}",en-US,MMP0dS4hSpYmmuJ1TW5VxRDyuGh2,"{""width"":1920,""height"":1028}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-17T23:18:27.979Z
R5MwnMpQk1cN4pIAGWdufiRwOzl1,true,loss,2026-09-17T01:10:36.602Z,2026-09-17T01:11:05.397Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T01:10:36.379Z,"{""width"":1920,""height"":1080}",en-US,R5MwnMpQk1cN4pIAGWdufiRwOzl1,"{""width"":1200,""height"":745}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",24,chunks,24,2026-09-17T01:11:04.895Z
YX9TqltUYxezRVRAmTnbzmZiNe92,false,gain,2026-09-17T01:36:52.219Z,,,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T01:36:51.247Z,"{""width"":800,""height"":600}",en-US,YX9TqltUYxezRVRAmTnbzmZiNe92,"{""width"":1600,""height"":1200}","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",0,chunks,,
eCvsifq5Q2aLIQ6mm1bhL1l0BJD2,false,loss,2026-09-17T01:38:50.767Z,2026-09-17T01:16:04.800Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T01:38:50.474Z,"{""width"":1920,""height"":1028}",en-US,eCvsifq5Q2aLIQ6mm1bhL1l0BJD2,"{""width"":1920,""height"":1028}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-17T01:16:04.718Z
m2kUN4wMYhPWm6ERdS3lf1UiNk52,false,loss,2026-09-17T01:21:19.602Z,2026-09-17T01:21:16.668Z,1,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T01:21:19.469Z,"{""width"":414,""height"":896}",en-US,m2kUN4wMYhPWm6ERdS3lf1UiNk52,"{""width"":430,""height"":692}","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Mobile/15E148 Safari/604.1",21,chunks,1,2026-09-17T01:21:16.294Z
oCLO68oeekeDMSOHwWS5368dYtf2,true,gain,2026-09-17T23:30:45.887Z,2026-09-17T23:31:26.670Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T23:30:45.637Z,"{""width"":1920,""height"":990}",en-US,oCLO68oeekeDMSOHwWS5368dYtf2,"{""width"":1920,""height"":990}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-17T23:31:26.596Z
wNjkDkPiiiWWcwdVo5IdjYH0Co13,true,loss,2026-09-17T23:16:43.352Z,2026-09-17T23:17:31.766Z,24,https://psych251.github.io/qa-juliomartinez/,0.1.0,framing-demo,2026-09-17T23:16:43.161Z,"{""width"":1920,""height"":1080}",en-US,wNjkDkPiiiWWcwdVo5IdjYH0Co13,"{""width"":1920,""height"":990}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",24,chunks,24,2026-09-17T23:17:31.399Z
